Row Labels,Average of exposed_to_sent_sec,Average of sent_to_delivered_sec,Average of exposed_to_delivered_sec
at,-1.11464393,2.90031348,1.781284013
ca,20.1298882,24.73554068,44.87458809
de,0.078440343,36.65832614,36.72745298
es,-18.01878224,12.95324036,-5.158482691
fr,125.7996032,3.26381323,129.8012475
gb,-41.6662295,2.333091962,-39.61167125
in,-75.74230462,207.2141901,125.9434431
jp,40.74858641,3.918343195,68.36400828
pt,-1.823298182,3.062271062,1.223139194
ro,296.1317898,2.760806916,303.1024121
us,-18.57136771,15.59629803,-3.145096767
Grand Total,2.096684967,19.50265782,23.61443673
